id,subject,qtype,final_score,S1,S2,S3,S4,S5,S6,S7,S8,S9,has_image,confidence,top_signal,top_reason
61024798bd61f315655274e0,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
63e78ccd8a90e86dacae5dbd,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
5f509f8fbd434d3145203a25,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
63e78ccd888a746db2a71464,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
5f509f8fbd434d3145203a26,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
63e78d62888a746db2a71476,unknown,scq,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,unlikely,S8,"High MathML density (7 <math> tags, 528 visible chars)"
63e78d628a90e86dacae5de2,unknown,scq,0.075,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S3,Orphaned options: 6/8 labels have <15 chars
5f511b1fbd434d3145203a41,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
63e78d62888a746db2a7147a,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
5f520f7fbd434d3145203a48,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
63e78dd88a90e86dacae5e11,physics,scq,0.593,1.0,0.8,0.125,0.0,0.0,0.0,0.0,0.5,0.0,1,possible,S1,Explicit ref: 'figure'
63e78dd98a90e86dacae5e13,physics,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
5f54b71877d3f86e65edeb00,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
5f54ec5c77d3f86e65edeb0a,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
63e78e33888a746db2a71498,physics,scq,0.1489,0.0,0.0,0.375,0.4,0.0,0.0,0.0,0.5,0.0,0,unlikely,S4,Orphaned options: 3/8 labels have <15 chars
5f5519d977d3f86e65edeb16,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
5f5627d577d3f86e65edeb38,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
5f5621d577d3f86e65edeb37,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
63e78e34888a746db2a7149a,unknown,scq,0.07,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S3,Roman numeral options with short/empty text
63e78e348a90e86dacae5e1e,physics,scq,0.5702,1.0,0.8,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,1,possible,S1,Explicit ref: 'figure'
5f58bdde77d3f86e65edeb9e,unknown,scq,0.1035,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0,unlikely,S3,Orphaned options: 4/8 labels have <15 chars
5f56305e77d3f86e65edeb48,unknown,scq,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,unlikely,S8,"High MathML density (4 <math> tags, 285 visible chars)"
5f5732c177d3f86e65edeb5b,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
5f58b63477d3f86e65edeb88,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
5f58b95c77d3f86e65edeb8e,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
5f58b99077d3f86e65edeb91,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
5f58bbb077d3f86e65edeb99,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
5f58b99077d3f86e65edeb95,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
5f58f4f177d3f86e65edebca,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
5f59078e77d3f86e65edebd7,unknown,scq,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,unlikely,S8,"High MathML density (3 <math> tags, 283 visible chars)"
5f5a0b4477d3f86e65edec11,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
641c6c89827d4d71d21309ec,biology,scq,0.0462,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S3,Orphaned options: 4/8 labels have <15 chars
5f5b671d77d3f86e65edec43,unknown,scq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unlikely,S1,
